,closeness_global,geometry
62,3.2919969591576516e-05,"LINESTRING (518905.5799999999 166425.0899999999, 518823 166462.0000000002)"
63,3.131960889840845e-05,"LINESTRING (519944.08 166161.52, 519782.27 165889.1500000002)"
64,3.149954158710509e-05,"LINESTRING (519905.92 166068.6500000003, 519944.08 166161.52)"
65,3.219211726420154e-05,"LINESTRING (519498.2499999999 166173.6100000009, 519503.98 166168.1100000002)"
66,3.214497677811302e-05,"LINESTRING (519595 166197, 519498.2499999999 166173.6100000009)"
67,3.224318631226337e-05,"LINESTRING (519415.08 166212.2099999996, 519498.2499999999 166173.6100000009)"
68,3.214639558801731e-05,"LINESTRING (519503.98 166168.1100000002, 519562.6400000001 166111.7500000008)"
69,3.207017671334105e-05,"LINESTRING (519641 166198.9999999999, 519595 166197)"
70,3.230478845605921e-05,"LINESTRING (519388.2600000001 166221.5499999998, 519415.08 166212.2099999996)"
71,3.1638659827638936e-05,"LINESTRING (519986.81 166265.6900000013, 519936.15 166181.2899999999)"
72,3.168348540560427e-05,"LINESTRING (519991.0100000001 166272.4699999998, 519986.81 166265.6900000013)"
73,3.171798474559763e-05,"LINESTRING (519926.0699999999 166275.3200000018, 519986.81 166265.6900000013)"
74,3.165068451455624e-05,"LINESTRING (519936.15 166181.2899999999, 519810.0000000001 165967)"
75,3.2034991397260806e-05,"LINESTRING (519641 166198.9999999999, 519662.11 166207.3599999998)"
76,3.195453897594728e-05,"LINESTRING (519662.11 166207.3599999998, 519791.59 166247.1600000006)"
77,3.181709291364784e-05,"LINESTRING (519791.59 166247.1600000006, 519926.0699999999 166275.3200000018)"
78,3.23197011597634e-05,"LINESTRING (519387.71 166221.7500000009, 519388.2600000001 166221.5499999998)"
79,3.238180782923409e-05,"LINESTRING (519276.04 166263.3500000006, 519387.71 166221.7500000009)"
80,2.860289895983266e-05,"LINESTRING (521874.32 166404.8200000009, 521827 166454.9999999993)"
81,2.8558347694588876e-05,"LINESTRING (521901.0000000001 166374.9999999991, 521874.32 166404.8200000009)"
82,2.8189643818564044e-05,"LINESTRING (522294 166031.0000000005, 522164 166139)"
83,2.8095404465648766e-05,"LINESTRING (522294 166031.0000000005, 522325.0000000001 165970.000000001)"
84,2.8288461638322937e-05,"LINESTRING (522164 166139, 522105.12 166191.5799999998)"
85,2.8323352266973935e-05,"LINESTRING (522105.12 166191.5799999998, 522098.9999999999 166197.0000000007)"
86,2.843432799468879e-05,"LINESTRING (522098.9999999999 166197.0000000007, 521901.0000000001 166374.9999999991)"
87,3.129368062299439e-05,"LINESTRING (519782.27 165889.1500000002, 519579.21 165553.7700000003)"
88,3.1636950975336706e-05,"LINESTRING (519797.9999999999 165875.0000000008, 519904.77 166066.6400000003)"
89,3.177136469214736e-05,"LINESTRING (519797.9999999999 165875.0000000008, 519756 165902.0000000005)"
90,3.172774144714385e-05,"LINESTRING (519797.9999999999 165875.0000000008, 519802 165838.0000000007)"
91,3.1526446073547304e-05,"LINESTRING (519904.77 166066.6400000003, 519905.92 166068.6500000003)"
92,3.1697213450874385e-05,"LINESTRING (519802 165838.0000000007, 519803 165814.0000000006)"
93,3.169199870544165e-05,"LINESTRING (519803 165814.0000000006, 519774.9999999999 165791.0000000001)"
94,3.166041809337361e-05,"LINESTRING (519803 165814.0000000006, 519824.4399999999 165751.850000001)"
95,3.175397161285565e-05,"LINESTRING (519810.0000000001 165967, 519756 165902.0000000005)"
96,3.210222531179995e-05,"LINESTRING (519562.6400000001 166111.7500000008, 519566.1800000001 166108.2899999999)"
97,3.2048808077762665e-05,"LINESTRING (519566.1800000001 166108.2899999999, 519630.94 166031.8699999989)"
98,3.1912471279786574e-05,"LINESTRING (519630.94 166031.8699999989, 519727.4100000001 165891.6799999999)"
99,3.180800187527365e-05,"LINESTRING (519723 165854.0000000003, 519727.4100000001 165891.6799999999)"
100,3.181172225143453e-05,"LINESTRING (519727.4100000001 165891.6799999999, 519756 165902.0000000005)"
101,3.17514724145189e-05,"LINESTRING (519710.0000000001 165798.9999999992, 519722 165835.9999999993)"
102,3.1616605929662216e-05,"LINESTRING (519591 165599.0000000005, 519710.0000000001 165798.9999999992)"
103,3.17799561553692e-05,"LINESTRING (519722 165835.9999999993, 519723 165854.0000000003)"
104,3.174466761488735e-05,"LINESTRING (519756 165796.0000000003, 519722 165835.9999999993)"
105,3.1672907724713826e-05,"LINESTRING (519701 165723.000000001, 519756 165796.0000000003)"
106,3.170857273442151e-05,"LINESTRING (519774.9999999999 165791.0000000001, 519756 165796.0000000003)"
107,3.166716304855995e-05,"LINESTRING (519774.9999999999 165791.0000000001, 519824.4399999999 165751.850000001)"
108,3.255239173392949e-05,"LINESTRING (519187 166301.000000001, 519174 166307.0000000001)"
109,3.2498428728948284e-05,"LINESTRING (519268.59 166266.3200000002, 519187 166301.000000001)"
110,3.244780154483266e-05,"LINESTRING (519268.59 166266.3200000002, 519276.04 166263.3500000006)"
111,2.803476836530033e-05,"LINESTRING (522325.0000000001 165970.000000001, 522392.0000000001 165917.0000000005)"
112,3.152467016268963e-05,"LINESTRING (519579.21 165553.7700000003, 519701 165723.000000001)"
113,3.141976179646817e-05,"LINESTRING (519579.21 165553.7700000003, 519554.24 165522.0799999998)"
114,3.145939868030801e-05,"LINESTRING (519554.24 165522.0799999998, 519591 165599.0000000005)"
115,3.162857772807473e-05,"LINESTRING (519824.4399999999 165751.850000001, 519832.25 165740.2299999992)"
116,3.1596424931650373e-05,"LINESTRING (519832.25 165740.2299999992, 519862.2 165699.7400000017)"
117,3.156223978026143e-05,"LINESTRING (519862.2 165699.7400000017, 519872.78 165685.0099999991)"
118,3.150863356700913e-05,"LINESTRING (519872.78 165685.0099999991, 519925.1 165612.0999999997)"
119,3.140052316482051e-05,"LINESTRING (519925.1 165612.0999999997, 520000.2200000001 165507.4600000005)"
120,3.132395470943218e-05,"LINESTRING (520000.2200000001 165507.4600000005, 520015.6900000001 165485.900000001)"
121,3.1310642944024176e-05,"LINESTRING (520015.6900000001 165485.900000001, 520016.0300000001 165485.4299999991)"
122,3.128151480165329e-05,"LINESTRING (520016.0300000001 165485.4299999991, 520050.3799999999 165437.5800000007)"
123,3.1108426777972325e-05,"LINESTRING (520050.3799999999 165437.5800000007, 520224.5800000001 165196.0000000002)"
124,3.10945761446141e-05,"LINESTRING (519554.24 165522.0799999998, 518965.5299999999 165192.4400000002)"
125,3.084502109563241e-05,"LINESTRING (518965.5299999999 165192.4400000002, 518582.09 165257.080000001)"
126,3.095974423439024e-05,"LINESTRING (518582.09 165257.080000001, 518498.3799999999 165279.8700000012)"
127,3.08953312339577e-05,"LINESTRING (520224.5800000001 165196.0000000002, 520337.4065645126 165106.3342199727)"
128,2.9788034640306825e-05,"LINESTRING (521266.56 172041.9800000003, 521261.07 171843.7)"
129,2.993397518683911e-05,"LINESTRING (521303.2 172166.5899999997, 521266.56 172041.9800000003)"
130,2.9558095636940178e-05,"LINESTRING (521261.07 171843.7, 521299.2999999999 171520.16)"
131,2.9706704886111194e-05,"LINESTRING (520987 171978.0000000011, 521048.9999999999 172022.0000000001)"
132,2.9569717122488766e-05,"LINESTRING (520804.9999999999 171825.9999999992, 520987 171978.0000000011)"
133,2.9774258753703526e-05,"LINESTRING (521048.9999999999 172022.0000000001, 521112.26 172065.8800000006)"
134,2.981713782436446e-05,"LINESTRING (521112.26 172065.8800000006, 521127.9999999999 172078.0000000001)"
135,3.0009705888779856e-05,"LINESTRING (521314.71 172204.1200000003, 521303.2 172166.5899999997)"
136,2.9926650708432576e-05,"LINESTRING (521127.9999999999 172078.0000000001, 521314.71 172204.1200000003)"
137,3.0037491463945543e-05,"LINESTRING (521330.05 172220.7100000003, 521314.71 172204.1200000003)"
138,3.0188506510971996e-05,"LINESTRING (521575.48 172411.3000000009, 521330.05 172220.7100000003)"
139,3.036400025546188e-05,"LINESTRING (521639.9 172450.6599999996, 521575.48 172411.3000000009)"
140,2.9281034446693917e-05,"LINESTRING (521299.2999999999 171520.16, 521359.3699999999 171210.5899999999)"
141,2.88542147455982e-05,"LINESTRING (521359.3699999999 171210.5899999999, 521597.2899999999 170549.9700000009)"
142,2.8860044078141038e-05,"LINESTRING (520292.6499999999 171329.8199999997, 520299.3799999999 171335.8599999995)"
143,2.8842660809328846e-05,"LINESTRING (520269.01 171307.1299999994, 520292.6499999999 171329.8199999997)"
144,2.8875753048464342e-05,"LINESTRING (520299.3799999999 171335.8599999995, 520321.9599999999 171353.540000001)"
