Route,Run,0
258,2,14785.802119189915
259,1,12258.254094563134
259,2,12857.383741145097
26,1,9521.453944817953
26,2,9653.094825903585
260,1,15019.103599735356
260,2,14908.230860591038
261,1,13579.77031861046
261,2,13746.190942697625
262,1,9217.473943678351
262,2,9174.617966454869
263,1,16523.066143445936
263,2,16432.265471599356
264,1,10193.243611307329
264,2,9419.51211169565
265,1,16691.47719591785
265,2,15194.405683029125
266,1,11443.116833645448
266,2,11636.265452294532
267,1,13048.955853318701
267,2,13247.875764931396
268,1,5171.3612376993515
268,2,5388.799410190946
269,1,14780.07581291238
269,2,14403.088378650351
27,1,10510.141633460957
27,2,12346.421032586835
270,1,9544.443916013413
270,2,9292.667903838645
271,1,7489.069707319483
271,2,7424.614240127444
272,1,8741.871694152163
272,2,8311.404027192462
273,1,16899.349220257474
273,2,16338.403858226886
274,1,10283.527202217976
274,2,9888.303066861587
275,1,13709.588936854472
275,2,13585.810113932617
276,1,15796.638336045278
276,2,14441.813686209656
277,1,11024.254974343088
277,2,11228.655057194022
278,1,16005.581049911712
278,2,15286.495897213088
279,1,14041.109263501938
279,2,14040.475476514084
28,1,12553.02881479388
28,2,11344.444529641347
280,1,12122.979596076488
280,2,12861.337090122814
281,1,17125.261320767793
281,2,16685.973216266073
282,1,17818.54151131064
282,2,17805.75562699863
283,1,5961.296991832963
283,2,6764.836303763275
284,1,9586.418977110938
284,2,9769.390891087687
285,1,17958.659579146915
285,2,17003.184152703514
286,1,13883.229749983935
286,2,13380.956694499737
287,1,11949.497662903994
287,2,12123.937873103432
288,1,5358.341143269202
288,2,5782.383953180646
289,1,13690.91867819923
289,2,13857.774788154264
29,1,11472.710374133669
29,2,11369.55626254198
290,1,16006.332472432248
290,2,15758.873451574613
291,1,4544.189113056867
291,2,6154.996758365593
292,1,13015.976633841125
292,2,13180.848859176069
293,1,11401.40210513487
293,2,12726.865973303047
294,1,14308.26558574151
294,2,14651.201527812927
295,1,10941.701857364335
295,2,11063.01719637674
296,1,11922.092102159417
296,2,12117.456238889768
297,1,13447.438253581517
297,2,13350.551600913628
298,1,11834.439035606114
298,2,11514.859686898999
299,1,8399.02979563216
299,2,8514.252160337786
3,1,11700.005176273555
3,2,11658.608585144006
30,1,11575.230298640414
30,2,11766.463259988934
300,1,11408.326305795954
300,2,11128.989336516464
301,1,11540.302842444082
301,2,11279.113295749936
302,1,11618.989503661986
302,2,11634.510823831286
303,1,9448.96256851882
303,2,9322.646015167446
306,1,8489.232286950704
306,2,7537.498081722437
307,1,14359.415739554195
307,2,14677.415186096416
308,1,11989.253902735205
308,2,11402.987440027688
309,1,6792.795931505815
309,2,6702.382096515998
31,1,10003.66919577814
31,2,9800.555966939246
312,1,6746.9155387532755
312,2,6920.538574231335
313,1,18431.627869720374
313,2,17900.11837325636
314,1,20498.879969183457
314,2,20591.62854765803
315,1,4692.23305218091
315,2,5436.828979015348
316,1,9433.525183075639
316,2,9417.418432587428
317,1,7460.773410106268
317,2,7327.0919763215625
318,1,8320.695430066464
318,2,8324.268244472234
319,1,11330.52133665361
319,2,11287.442874554807
32,1,10817.153853294143
32,2,10707.436938842162
320,1,18357.86451076194
320,2,18596.182491406944
321,1,14536.59444341314
321,2,14610.877732992336
322,1,9536.3550758972
322,2,9311.172941042087
323,1,4238.5631248012505
323,2,4271.96327347191
324,1,13726.902364510592
324,2,14482.140269236681
325,1,11213.42552471246
325,2,11298.37333890976
326,1,15643.877126025805
326,2,15469.4473952783
327,1,1971.2204892733625
327,2,2298.8627724801386
328,1,11835.292247846806
328,2,12272.520007130239
329,1,8461.660058675587
329,2,8470.699640911724
33,1,12810.281157283693
33,2,12873.443745758797
330,1,5441.073170217616
330,2,5448.5774157432015
331,1,19642.44182708283
331,2,19626.82205756183
332,1,11214.123142611976
332,2,10653.176642751236
333,1,11407.961595100547
333,2,11442.336298257243
335,1,6993.991786868838
335,2,6463.021095095082
336,1,14211.018536064994
336,2,14371.8015488736
337,1,10262.37459665323
337,2,10692.509675478323
339,1,10976.009718472018
339,2,11001.179373606548
34,1,17469.13538760043
34,2,17373.204480662553
340,1,9136.542884309674
340,2,9158.12492874013
341,1,16052.098839115297
341,2,16145.270863759342
343,1,12499.346911622382
343,2,12315.274082204425
344,1,10227.94287157125
344,2,10171.400946467591
345,1,13134.275044627642
345,2,13358.956859814629
346,1,2789.5093719230654
346,2,3480.130220703722
347,1,18251.23252672816
347,2,18316.8867508754
349,1,9063.139795785759
349,2,9164.091673815026
35,1,13457.959011782787
35,2,12727.608541001176
350,1,10510.20371442311
350,2,10811.48886114206
352,1,11990.385272685986
352,2,12227.903759701238
353,1,15445.325796253921
353,2,15759.825227870473
354,1,9808.823412758547
354,2,9613.285029748977
355,1,9763.24071075953
355,2,10219.84429954831
356,1,14000.26457128185
356,2,14050.902077897455
357,1,7875.92560753234
357,2,7815.714598991415
357,3,444.91895470465926
357,4,365.4654566439898
358,1,23345.032414365854
358,2,23165.685159487486
359,1,9636.21980824591
359,2,8927.36951731217
36,1,15087.542737220161
36,2,14996.016735412533
