,closeness_global,geometry
10,2.4661633524229733e-05,"LINESTRING (8587638.556724805 3321949.275469302, 8587646.883422716 3321975.743527877, 8587681.726423334 3322073.680871991, 8587715.523020739 3322219.802292882, 8587879.296255592 3322913.580814514, 8587897.107374121 3322972.707301863, 8587907.727253543 3323009.471330598)"
11,2.574265111012069e-05,"LINESTRING (8588028.88738732 3323130.552474524, 8588446.112838816 3323327.763317669)"
12,2.5112764187674315e-05,"LINESTRING (8586686.864134114 3322800.437484782, 8586705.844107294 3322803.911002409, 8586931.52211098 3322836.70663134, 8587015.924548898 3322848.547052176, 8587140.568982741 3322867.042976859, 8587194.926290095 3322875.118313232, 8587425.413295783 3322908.953645501, 8587527.548928587 3322922.30271554, 8587602.934487751 3322933.648801726, 8587630.49719367 3322940.063464778, 8587647.874166183 3322945.590726329, 8587723.771795006 3322981.099633284, 8587773.809906119 3323006.542881832, 8587781.602270473 3323010.510866678, 8587796.363234952 3323017.432657763, 8587799.814139169 3323019.055349234, 8587898.198305132 3323067.140350975, 8587910.77740759 3323072.490182614, 8588028.88738732 3323130.552474524)"
13,8.033898192216215e-07,"LINESTRING (8595742.515467012 3334265.175766117, 8595769.76647836 3334358.128326904, 8595802.071394587 3334468.299396004, 8595831.415212359 3334577.240614024, 8595848.602941738 3334693.453177155, 8595866.313872725 3334871.117365244, 8595885.082338871 3334980.88664901, 8595931.502566533 3335121.300280672, 8595934.908942951 3335131.616287353, 8595951.439887334 3335181.039333265, 8595973.648125747 3335257.439222395, 8595988.230979042 3335304.794431469, 8596023.40793813 3335458.116326335, 8596069.984013079 3335707.739271438, 8596074.169625934 3335721.60876026, 8596105.817757165 3335826.575754391, 8596200.227817308 3336143.22021286, 8596229.271072455 3336151.240160071, 8596240.8482995 3336152.788314997)"
14,8.846359867771859e-07,"LINESTRING (8595868.451206947 3333279.266464593, 8595867.32688009 3333288.62951223, 8595865.946518404 3333299.40083128, 8595862.339766903 3333324.445133341, 8595857.686612187 3333346.39382591, 8595838.873618243 3333488.147728695, 8595800.056511803 3333780.706274749, 8595794.290162181 3333806.258985674, 8595788.334569424 3333832.649125969, 8595780.653524559 3333866.689946811, 8595743.528474379 3334093.064257051, 8595738.151742974 3334143.828356179, 8595739.242673984 3334174.253920151, 8595742.515467012 3334265.175766117)"
15,1.1481846644644099e-06,"LINESTRING (8595742.515467012 3334265.175766117, 8595727.587523298 3334302.92259851, 8595719.427804625 3334329.884687271, 8595707.37190377 3334366.045692181, 8595694.948648598 3334394.885750121, 8595673.65323001 3334428.090592965, 8595662.910899147 3334448.987989778, 8595656.933042491 3334478.246938152, 8595654.940423606 3334499.690007132, 8595643.207349276 3334530.205203397, 8595632.843504684 3334558.804540333, 8595629.470524114 3334577.380185224, 8595631.262767915 3334606.639416232, 8595649.919914572 3334699.797379524, 8595646.602593748 3334774.506934381, 8595641.236994289 3334834.993051803, 8595628.246009715 3334874.949314335, 8595589.039285056 3334948.873157727, 8595558.448688986 3335014.435551004)"
16,8.779329238606566e-07,"LINESTRING (8596734.928727435 3334106.881309569, 8596724.153000725 3334107.820209893, 8596595.489933267 3334117.196528939, 8596512.490120932 3334137.788928075, 8596468.296283087 3334135.999938345, 8596438.195492776 3334123.312074827, 8596392.810536381 3334086.28895831, 8596372.50586126 3334074.933362357, 8596336.382686498 3334064.491297767, 8596277.862030188 3334065.087624444, 8596154.186075915 3334078.067252114, 8596119.387603093 3334083.256569169, 8596010.461481353 3334153.395018911, 8596005.251729183 3334156.744621286, 8595915.973497568 3334204.819121056, 8595823.44473682 3334238.708639336, 8595742.515467012 3334265.175766117)"
17,1.935676089779616e-07,"LINESTRING (8595866.313872725 3334871.117365244, 8596025.055466594 3334820.22360314, 8596084.911956795 3334801.038570625, 8596173.666986803 3334782.513367092, 8596264.637274681 3334763.531404507, 8596314.731045537 3334753.076110489, 8596338.141534451 3334741.225095422, 8596472.593215432 3334673.139061555, 8596622.340194449 3334592.238182166, 8596633.338560138 3334593.037545409)"
18,2.097431173642297e-05,"LINESTRING (8591234.966645813 3338809.929172609, 8591255.082077798 3338778.718759556, 8591270.05454931 3338761.558775174, 8591284.20325659 3338745.934577917, 8591383.132888056 3338620.256285464, 8591400.320617437 3338598.413108352, 8591429.508587923 3338561.352134676)"
19,2.0905478026031536e-05,"LINESTRING (8591213.192553414 3338838.588494109, 8591234.966645813 3338809.929172609)"
